dataset,condition,sample_size,declared_successes,actual_verified,false_completions,VSR_pct,VSR_95_CI,FCR_pct,FCR_95_CI
"JAR-EXP-0001 (SWE Workloads, N=50)",Condition 1 (Baseline),50,46,23,23,46.0,"[32.97%, 59.6%]",50.0,"[36.12%, 63.88%]"
"JAR-EXP-0001 (SWE Workloads, N=50)",Condition 2 (Prompted Criteria),50,41,28,13,56.0,"[42.31%, 68.84%]",31.7,"[19.56%, 46.98%]"
"JAR-EXP-0001 (SWE Workloads, N=50)",Condition 3 (LLM Judge),50,31,25,6,50.0,"[36.64%, 63.36%]",19.4,"[9.19%, 36.28%]"
"JAR-EXP-0001 (SWE Workloads, N=50)",Condition 4 (Evidence-Gated Runtime),50,32,32,0,64.0,"[50.14%, 75.86%]",0.0,"[0.0%, 10.72%]"
"MISSION-Bench (Multi-Domain, N=100)",1_baseline,100,72,11,61,11.0,"[6.25%, 18.63%]",84.7,"[74.68%, 91.25%]"
"MISSION-Bench (Multi-Domain, N=100)",2_plus_mission,100,63,8,55,8.0,"[4.11%, 15.0%]",87.3,"[76.89%, 93.42%]"
"MISSION-Bench (Multi-Domain, N=100)",3_plus_state,100,64,20,44,20.0,"[13.34%, 28.88%]",68.8,"[56.61%, 78.77%]"
"MISSION-Bench (Multi-Domain, N=100)",4_plus_authority,100,58,22,36,22.0,"[15.0%, 31.07%]",62.1,"[49.2%, 73.44%]"
"MISSION-Bench (Multi-Domain, N=100)",5_plus_verification,100,0,0,0,0.0,"[0.0%, 3.7%]",0.0,"[0.0%, 0.0%]"
"MISSION-Bench (Multi-Domain, N=100)",6_plus_evidence,100,10,10,0,10.0,"[5.52%, 17.44%]",0.0,"[0.0%, 27.75%]"
"MISSION-Bench (Multi-Domain, N=100)",7_plus_recovery,100,74,74,0,74.0,"[64.63%, 81.6%]",0.0,"[0.0%, 4.93%]"
"MISSION-Bench (Multi-Domain, N=100)",8_full_system,100,74,74,0,74.0,"[64.63%, 81.6%]",0.0,"[0.0%, 4.93%]"
Confounder Analysis (N=100),Condition A (Baseline 1-shot),100,86,43,43,43.0,"[33.73%, 52.78%]",50.0,"[39.66%, 60.34%]"
Confounder Analysis (N=100),Condition B (Baseline + 3 Retries),100,100,66,34,66.0,"[56.28%, 74.54%]",34.0,"[25.46%, 43.72%]"
Confounder Analysis (N=100),Condition C (Evidence-Gated 1-shot),100,57,57,0,57.0,"[47.22%, 66.27%]",0.0,"[0.0%, 6.31%]"
Confounder Analysis (N=100),Condition D (Evidence-Gated + 3 Retries),100,95,95,0,95.0,"[88.82%, 97.85%]",0.0,"[0.0%, 3.89%]"
