table,stratum,condition_or_model,metric,value
cell,dialagram,A,n,58
cell,dialagram,A,vsr,0.0
cell,dialagram,A,fcr_reported,0.0
cell,dialagram,A,fcr_among_valid,0.0
cell,dialagram,A,actual_success_rate,0.0
cell,dialagram,A,abstention_rate,86.2
cell,dialagram,A,recovery_rate,0.0
cell,dialagram,A,constraint_retention_rate,100.0
cell,dialagram,A,unauthorized_action_rate,0.0
cell,dialagram,A,total_cost_usd,0.0
cell,dialagram,A,cpvo_usd,
cell,dialagram,A,mean_latency_ms,20558.8
cell,dialagram,A,mean_tokens,1226.5
cell,dialagram,A,mean_tvo_ms,0.0
cell,dialagram,A,mean_control_plane_tax,0.0
cell,dialagram,A,vsr_ci,"[0.0, 6.21]"
cell,dialagram,A,fcr_reported_ci,"[0.0, 32.44]"
cell,dialagram,C,n,59
cell,dialagram,C,vsr,0.0
cell,dialagram,C,fcr_reported,0.0
cell,dialagram,C,fcr_among_valid,0.0
cell,dialagram,C,actual_success_rate,0.0
cell,dialagram,C,abstention_rate,84.7
cell,dialagram,C,recovery_rate,0.0
cell,dialagram,C,constraint_retention_rate,100.0
cell,dialagram,C,unauthorized_action_rate,0.0
cell,dialagram,C,total_cost_usd,0.0
cell,dialagram,C,cpvo_usd,
cell,dialagram,C,mean_latency_ms,19215.7
cell,dialagram,C,mean_tokens,1290.1
cell,dialagram,C,mean_tvo_ms,0.0
cell,dialagram,C,mean_control_plane_tax,0.0
cell,dialagram,C,vsr_ci,"[0.0, 6.11]"
cell,dialagram,C,fcr_reported_ci,"[0.0, 29.91]"
cell,dialagram,F,n,58
cell,dialagram,F,vsr,91.4
cell,dialagram,F,fcr_reported,1.9
cell,dialagram,F,fcr_among_valid,1.7
cell,dialagram,F,actual_success_rate,91.4
cell,dialagram,F,abstention_rate,8.6
cell,dialagram,F,recovery_rate,0.0
cell,dialagram,F,constraint_retention_rate,100.0
cell,dialagram,F,unauthorized_action_rate,0.0
cell,dialagram,F,total_cost_usd,0.0
cell,dialagram,F,cpvo_usd,0.0
cell,dialagram,F,mean_latency_ms,17839.2
cell,dialagram,F,mean_tokens,1201.3
cell,dialagram,F,mean_tvo_ms,18023.8
cell,dialagram,F,mean_control_plane_tax,0.0
cell,dialagram,F,vsr_ci,"[81.36, 96.26]"
cell,dialagram,F,fcr_reported_ci,"[0.33, 9.94]"
cell,dialagram,G,n,59
cell,dialagram,G,vsr,89.8
cell,dialagram,G,fcr_reported,5.7
cell,dialagram,G,fcr_among_valid,5.1
cell,dialagram,G,actual_success_rate,89.8
cell,dialagram,G,abstention_rate,10.2
cell,dialagram,G,recovery_rate,0.0
cell,dialagram,G,constraint_retention_rate,100.0
cell,dialagram,G,unauthorized_action_rate,0.0
cell,dialagram,G,total_cost_usd,0.0
cell,dialagram,G,cpvo_usd,0.0
cell,dialagram,G,mean_latency_ms,17648.5
cell,dialagram,G,mean_tokens,1248.1
cell,dialagram,G,mean_tvo_ms,17944.8
cell,dialagram,G,mean_control_plane_tax,0.0
cell,dialagram,G,vsr_ci,"[79.54, 95.26]"
cell,dialagram,G,fcr_reported_ci,"[1.94, 15.37]"
cell,openrouter,A,n,59
cell,openrouter,A,vsr,0.0
cell,openrouter,A,fcr_reported,0.0
cell,openrouter,A,fcr_among_valid,0.0
cell,openrouter,A,actual_success_rate,0.0
cell,openrouter,A,abstention_rate,100.0
cell,openrouter,A,recovery_rate,0.0
cell,openrouter,A,constraint_retention_rate,100.0
cell,openrouter,A,unauthorized_action_rate,0.0
cell,openrouter,A,total_cost_usd,0.0389
cell,openrouter,A,cpvo_usd,
cell,openrouter,A,mean_latency_ms,10493.7
cell,openrouter,A,mean_tokens,633.8
cell,openrouter,A,mean_tvo_ms,0.0
cell,openrouter,A,mean_control_plane_tax,0.0
cell,openrouter,A,vsr_ci,"[0.0, 6.11]"
cell,openrouter,A,fcr_reported_ci,"[0.0, 0.0]"
cell,openrouter,C,n,59
cell,openrouter,C,vsr,0.0
cell,openrouter,C,fcr_reported,0.0
cell,openrouter,C,fcr_among_valid,0.0
cell,openrouter,C,actual_success_rate,0.0
cell,openrouter,C,abstention_rate,98.3
cell,openrouter,C,recovery_rate,0.0
cell,openrouter,C,constraint_retention_rate,100.0
cell,openrouter,C,unauthorized_action_rate,0.0
cell,openrouter,C,total_cost_usd,0.0425
cell,openrouter,C,cpvo_usd,
cell,openrouter,C,mean_latency_ms,9726.0
cell,openrouter,C,mean_tokens,606.1
cell,openrouter,C,mean_tvo_ms,0.0
cell,openrouter,C,mean_control_plane_tax,0.0
cell,openrouter,C,vsr_ci,"[0.0, 6.11]"
cell,openrouter,C,fcr_reported_ci,"[0.0, 79.35]"
cell,openrouter,F,n,58
cell,openrouter,F,vsr,93.1
cell,openrouter,F,fcr_reported,0.0
cell,openrouter,F,fcr_among_valid,0.0
cell,openrouter,F,actual_success_rate,93.1
cell,openrouter,F,abstention_rate,6.9
cell,openrouter,F,recovery_rate,0.0
cell,openrouter,F,constraint_retention_rate,100.0
cell,openrouter,F,unauthorized_action_rate,0.0
cell,openrouter,F,total_cost_usd,0.0568
cell,openrouter,F,cpvo_usd,0.0011
cell,openrouter,F,mean_latency_ms,10100.9
cell,openrouter,F,mean_tokens,704.5
cell,openrouter,F,mean_tvo_ms,10035.6
cell,openrouter,F,mean_control_plane_tax,0.0
cell,openrouter,F,vsr_ci,"[83.57, 97.29]"
cell,openrouter,F,fcr_reported_ci,"[0.0, 6.64]"
cell,openrouter,G,n,60
cell,openrouter,G,vsr,91.7
cell,openrouter,G,fcr_reported,0.0
cell,openrouter,G,fcr_among_valid,0.0
cell,openrouter,G,actual_success_rate,91.7
cell,openrouter,G,abstention_rate,8.3
cell,openrouter,G,recovery_rate,0.0
cell,openrouter,G,constraint_retention_rate,100.0
cell,openrouter,G,unauthorized_action_rate,0.0
cell,openrouter,G,total_cost_usd,0.064
cell,openrouter,G,cpvo_usd,0.0012
cell,openrouter,G,mean_latency_ms,9670.4
cell,openrouter,G,mean_tokens,689.7
cell,openrouter,G,mean_tvo_ms,9183.1
cell,openrouter,G,mean_control_plane_tax,0.0
cell,openrouter,G,vsr_ci,"[81.93, 96.39]"
cell,openrouter,G,fcr_reported_ci,"[0.0, 6.53]"
H1_McNemar_FCR_A_vs_G,dialagram,,n_pairs,57
